Title,ImdbId
Die Hard: With a Vengeance (1995),tt0112864
Dr. No (1962),tt0055928
"Dude, Where's My Car? (2000)",tt0242423
Dumb and Dumber To (2014),tt2096672
E.T. the Extra-Terrestrial (1982),tt0083866
Eden of the East Movie II: Paradise Lost (2010),tt1468321
Time of Eve: The Movie (2010),tt1715210
Event Horizon (1997),tt0119081
Excalibur (1981),tt0082348
Arrival (2016),tt2543164
Assassin's Creed (2016),tt2094766
Batman: Return of the Caped Crusaders (2016),tt5973626
Doctor Strange (2016),tt1211837
Dolly Parton's Coat of Many Colors (2015),tt4767274
Fantastic Beasts and Where to Find Them (2016),tt3183660
The Founder (2016),tt4276820
The Girl on the Train (2016),tt3631112
Hidden Figures (2016),tt4846340
La La Land (2016),tt3783958
Long Way North (2015),tt2262345
My Big Fat Greek Wedding 2 (2016),tt3760922
Passengers (2016),tt1355644
Rogue One: A Star Wars Story (2016),tt3748528
Split (2016),tt4972582
Trolls (2016),tt1679335
Fool's Gold (2008),tt0770752
For Love or Money (1993),tt0106941
For the Love of Spock (2016),tt4572820
Faces in the Crowd (2011),tt1536410
Fantastic Four: Rise of the Silver Surfer (2007),tt0486576
Fantastic Four (2005),tt0120667
Flipped (2010),tt0817177
Flushed Away (2006),tt0424095
Free Fall (2014),tt3259178
Summer Wars (2009),tt1474276
Super Mario Bros. (1993),tt0108255
Superman Returns (2006),tt0348150
Sword of the Stranger (2007),tt1121794
Ted 2 (2015),tt2637276
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),tt3949660
The Ant Bully (2006),tt0429589
The Big Short (2015),tt1596363
The Book of Life (2014),tt2262227
The Borrowers (1997),tt0118755
The Boss (2016),tt2702724
The Campaign (2012),tt1790886
Repetido (0),
The D Train (2015),tt2690138
The Danish Girl (2015),tt0810819
The Fisher King (1991),tt0101889
The Forest (2016),tt3387542
The Fountain (2006),tt0414993
The Godfather (1972),tt0068646
The Green Hornet (2011),tt0990407
The Green Inferno (2013),tt2403021
The Green Mile (1999),tt0120689
The Hateful Eight (2015),tt3460252
The Hunger Games: Mockingjay - Part 2 (2015),tt1951266
The Imaginarium of Doctor Parnassus (2009),tt1054606
The Incredible Burt Wonderstone (2013),tt0790628
The Internship (2013),tt2234155
The Interview (2014),tt2788710
The Jungle Book (2016),tt3040964
The Lady in the Van (2015),tt3722070
The Last Samurai (2003),tt0325710
The Legend of Tarzan (2016),tt0918940
